time,Ckappa_U0.08,C3-_U0.08,C3+_U0.08,Ckappa_U0.32,C3-_U0.32,C3+_U0.32,Ckappa_U1.28,C3-_U1.28,C3+_U1.28
9.099999999999983658e+00,9.961843537942020044e-01,9.504287591642672783e-01,9.899253172134533374e-01,9.495102787170378589e-01,4.059597629452781908e-01,8.593641792613889718e-01,8.389661889319588450e-01,-1.292514586757950550e-02,3.781153242190283814e-01
1.009999999999998366e+01,9.959635198329049866e-01,9.416386223709330983e-01,9.896537334829943466e-01,9.469859286472001036e-01,3.368697700213659774e-01,8.569694096900047908e-01,8.317246751781600667e-01,-7.503383368595958197e-03,3.755363562044681802e-01
1.109999999999998366e+01,9.957402816043763316e-01,9.323438443633038641e-01,9.893976831324757804e-01,9.445438929566101205e-01,2.733768114882424438e-01,8.547892113908048817e-01,8.249284063766789687e-01,2.696232278575131508e-03,3.748939974821879351e-01
1.209999999999998366e+01,9.955220569877069048e-01,9.225924047203581946e-01,9.891448108511355919e-01,9.421609450742179925e-01,2.163741604463146340e-01,8.527381929143211803e-01,8.183329725277028732e-01,5.494267653464425527e-03,3.750507917567433847e-01
1.309999999999998366e+01,9.953113899648989849e-01,9.125284559775097559e-01,9.889246693221924733e-01,9.398504871770938518e-01,1.668169961513076005e-01,8.509182643613302233e-01,8.117053232235121873e-01,7.115847924982224510e-04,3.751021797277233061e-01
1.409999999999998366e+01,9.950890751384634525e-01,9.022261232356446614e-01,9.886907138364133818e-01,9.375145998904355071e-01,1.246905654070329938e-01,8.488896514779560309e-01,8.050761555040404360e-01,-3.717841219844122448e-03,3.746713535896681879e-01
1.509999999999998366e+01,9.948580838479602617e-01,8.917155884121542586e-01,9.884100063215418563e-01,9.351300864446826511e-01,8.971717837617633473e-02,8.464649108570320157e-01,7.984284522761420089e-01,-2.743437225661825643e-03,3.737776118948342718e-01
1.609999999999998366e+01,9.946315644938149569e-01,8.809540715205048667e-01,9.881812738154350795e-01,9.329269820837163829e-01,6.111433042939045518e-02,8.447400868070241708e-01,7.917911808861003431e-01,1.010058806615219589e-03,3.726672489140511191e-01
1.709999999999998366e+01,9.944223863178990319e-01,8.699133402056455910e-01,9.879954336076638421e-01,9.308124097009813358e-01,3.829185411456092342e-02,8.432369879013648095e-01,7.852318405221557773e-01,2.866413324017397929e-03,3.712724048788309528e-01
1.809999999999998366e+01,9.942026228000232502e-01,8.587135914060064490e-01,9.877528276087457204e-01,9.286019434778780557e-01,2.092555004607436070e-02,8.412056709697717238e-01,7.786356840415616931e-01,1.841896321218642598e-03,3.692081266622400104e-01
1.909999999999998366e+01,9.939912980561496081e-01,8.473145110480863051e-01,9.875676377608071377e-01,9.265987508282057528e-01,8.211740691149722882e-03,8.399104351379466094e-01,7.719756784538294170e-01,2.588808767522641206e-04,3.662828421774572685e-01
2.009999999999998366e+01,9.937964040363150842e-01,8.358095291227894963e-01,9.874477952707916284e-01,9.247288518149627823e-01,-5.395363665174324717e-04,8.389351468765001707e-01,7.654451298901157053e-01,-4.468941944850659311e-05,3.627120304409243157e-01
2.109999999999998366e+01,9.935779965837566730e-01,8.242274885909682824e-01,9.872362497609885601e-01,9.225854370169438434e-01,-6.007138118138388369e-03,8.367699181151585508e-01,7.587657469472292027e-01,8.836221071797320265e-04,3.589567064988482548e-01
2.209999999999998366e+01,9.933452879664683710e-01,8.126237818997640305e-01,9.869400105950447699e-01,9.202951946108087755e-01,-8.874568121358242245e-03,8.339925390482014755e-01,7.521072161789787991e-01,1.653472148769894422e-03,3.553317727516649427e-01
