# XXZ model at half-filling
# L=28, J=1, Delta=0.40
# Integrated conductivity, I_s(omega) via MCLM
# omega/Delta I_s(omega)

1.46125 0.115923
1.4625 0.115933
1.46375 0.115944
1.465 0.115955
1.46625 0.115966
1.4675 0.115977
1.46875 0.115987
1.47 0.115996
1.47125 0.116007
1.4725 0.116017
1.47375 0.116027
1.475 0.116037
1.47625 0.116047
1.4775 0.116057
1.47875 0.116066
1.48 0.116075
1.48125 0.116085
1.4825 0.116095
1.48375 0.116106
1.485 0.116117
1.48625 0.116128
1.4875 0.116138
1.48875 0.116148
1.49 0.116159
1.49125 0.116168
1.4925 0.11618
1.49375 0.11619
1.495 0.116199
1.49625 0.116209
1.4975 0.116219
1.49875 0.116229
1.5 0.116239
1.50125 0.116249
1.5025 0.116259
1.50375 0.116269
1.505 0.116279
1.50625 0.116288
1.5075 0.116298
1.50875 0.11631
1.51 0.116319
1.51125 0.116328
1.5125 0.116338
1.51375 0.116347
1.515 0.116356
1.51625 0.116366
1.5175 0.116376
1.51875 0.116385
1.52 0.116395
1.52125 0.116405
1.5225 0.116415
1.52375 0.116424
1.525 0.116433
1.52625 0.116443
1.5275 0.116452
1.52875 0.116461
1.53 0.11647
1.53125 0.116479
1.5325 0.116488
1.53375 0.116498
1.535 0.116507
1.53625 0.116516
1.5375 0.116526
1.53875 0.116534
1.54 0.116544
1.54125 0.116552
1.5425 0.116561
1.54375 0.11657
1.545 0.116578
1.54625 0.116587
1.5475 0.116597
1.54875 0.116606
1.55 0.116615
1.55125 0.116624
1.5525 0.116634
1.55375 0.116643
1.555 0.116651
1.55625 0.116659
1.5575 0.116669
1.55875 0.116678
1.56 0.116686
1.56125 0.116695
1.5625 0.116705
1.56375 0.116713
1.565 0.116721
1.56625 0.11673
1.5675 0.116739
1.56875 0.116748
1.57 0.116756
1.57125 0.116764
1.5725 0.116774
1.57375 0.116782
1.575 0.116791
1.57625 0.1168
1.5775 0.11681
1.57875 0.116818
1.58 0.116827
1.58125 0.116835
1.5825 0.116844
1.58375 0.116853
1.585 0.116862
1.58625 0.116871
1.5875 0.116882
1.58875 0.116891
1.59 0.1169
1.59125 0.116909
1.5925 0.116918
1.59375 0.116926
1.595 0.116934
1.59625 0.116943
1.5975 0.116955
1.59875 0.116963
1.6 0.116971
1.60125 0.116979
1.6025 0.116987
1.60375 0.116996
1.605 0.117005
1.60625 0.117013
1.6075 0.117021
1.60875 0.117029
1.61 0.117037
1.61125 0.117046
1.6125 0.117054
1.61375 0.117063
1.615 0.117072
1.61625 0.117079
1.6175 0.117087
1.61875 0.117095
1.62 0.117102
1.62125 0.117111
1.6225 0.117118
1.62375 0.117126
1.625 0.117135
1.62625 0.117144
1.6275 0.117151
1.62875 0.117159
1.63 0.117168
1.63125 0.117176
1.6325 0.117183
1.63375 0.117191
1.635 0.117199
1.63625 0.117207
1.6375 0.117214
1.63875 0.117222
1.64 0.117229
1.64125 0.117237
1.6425 0.117245
1.64375 0.117253
1.645 0.117261
1.64625 0.117269
1.6475 0.117277
1.64875 0.117286
1.65 0.117294
1.65125 0.117301
1.6525 0.117309
1.65375 0.117316
1.655 0.117323
1.65625 0.117331
1.6575 0.117339
1.65875 0.117347
1.66 0.117355
1.66125 0.117363
1.6625 0.11737
1.66375 0.117378
1.665 0.117385
1.66625 0.117392
1.6675 0.1174
1.66875 0.117408
1.67 0.117415
1.67125 0.117422
1.6725 0.117429
1.67375 0.117436
1.675 0.117444
