# XXZ spin chain 
# DTP for L=20, Delta->0.0, omega_p=0.037425
# Integrated and normalized regular part of the optical conductivity I_reg(omega/omega_p) 
# omega/omega_p I_reg(omega/omega_p))

0.730261 0.125794
0.731062 0.125794
0.731864 0.126429
0.732665 0.126429
0.733467 0.1277
0.734269 0.1277
0.73507 0.1277
0.735872 0.1277
0.736673 0.128971
0.737475 0.128971
0.738277 0.128971
0.739078 0.129606
0.73988 0.131512
0.740681 0.131512
0.741483 0.131512
0.742285 0.131512
0.743086 0.134689
0.743888 0.135959
0.744689 0.135959
0.745491 0.135959
0.746293 0.135959
0.747094 0.137865
0.747896 0.138501
0.748697 0.138501
0.749499 0.139136
0.750301 0.139136
0.751102 0.139136
0.751904 0.140407
0.752705 0.140407
0.753507 0.140407
0.754309 0.140407
0.75511 0.141042
0.755912 0.141042
0.756713 0.141042
0.757515 0.141042
0.758317 0.142313
0.759118 0.142313
0.75992 0.144219
0.760721 0.144219
0.761523 0.144854
0.762325 0.145489
0.763126 0.149936
0.763928 0.149936
0.764729 0.151207
0.765531 0.151207
0.766333 0.151842
0.767134 0.153113
0.767936 0.153748
0.768737 0.153748
0.769539 0.154384
0.770341 0.154384
0.771142 0.154384
0.771944 0.154384
0.772745 0.155019
0.773547 0.155019
0.774349 0.155019
0.77515 0.155019
0.775952 0.15629
0.776754 0.15756
0.777555 0.160737
0.778357 0.160737
0.779158 0.160737
0.77996 0.160737
0.780762 0.162643
0.781563 0.162643
0.782365 0.16582
0.783166 0.16709
0.783968 0.168361
0.78477 0.168996
0.785571 0.170267
0.786373 0.172173
0.787174 0.172808
0.787976 0.174079
0.788778 0.174079
0.789579 0.174714
0.790381 0.174714
0.791182 0.174714
0.791984 0.175349
0.792786 0.175349
0.793587 0.175985
0.794389 0.17662
0.79519 0.177255
0.795992 0.177255
0.796794 0.177255
0.797595 0.177891
0.798397 0.177891
0.799198 0.179161
0.8 0.179797
0.800802 0.179797
0.801603 0.180432
0.802405 0.181067
0.803206 0.181067
0.804008 0.181703
0.80481 0.182338
0.805611 0.182338
0.806413 0.182338
0.807214 0.182338
0.808016 0.182973
0.808818 0.185515
0.809619 0.185515
0.810421 0.185515
0.811222 0.18615
0.812024 0.186785
0.812826 0.186785
0.813627 0.186785
0.814429 0.187421
0.81523 0.187421
0.816032 0.187421
0.816834 0.188056
0.817635 0.188056
0.818437 0.189327
0.819238 0.189962
0.82004 0.191233
0.820842 0.192503
0.821643 0.192503
0.822445 0.193774
0.823246 0.193774
0.824048 0.194409
0.82485 0.194409
0.825651 0.195044
0.826453 0.195044
0.827255 0.195044
0.828056 0.195044
0.828858 0.196315
0.829659 0.198221
0.830461 0.199492
0.831263 0.199492
0.832064 0.199492
0.832866 0.201398
0.833667 0.201398
0.834469 0.202033
0.835271 0.202668
0.836072 0.203304
0.836874 0.203304
0.837675 0.203939
0.838477 0.203939
0.839279 0.203939
0.84008 0.20521
0.840882 0.205845
0.841683 0.207116
0.842485 0.207116
0.843287 0.207751
0.844088 0.207751
0.84489 0.207751
0.845691 0.213469
0.846493 0.214104
0.847295 0.21474
0.848096 0.21474
0.848898 0.21474
0.849699 0.216645
0.850501 0.217281
0.851303 0.217916
0.852104 0.218551
0.852906 0.219187
0.853707 0.219187
0.854509 0.219822
0.855311 0.219822
0.856112 0.220457
0.856914 0.220457
0.857715 0.221093
0.858517 0.221093
0.859319 0.221093
0.86012 0.221728
0.860922 0.221728
0.861723 0.221728
0.862525 0.222363
0.863327 0.222363
0.864128 0.222999
0.86493 0.224905
0.865731 0.224905
0.866533 0.226811
0.867335 0.226811
0.868136 0.229987
0.868938 0.230623
0.869739 0.231893
0.870541 0.232529
0.871343 0.23507
0.872144 0.237611
0.872946 0.237611
0.873747 0.238882
0.874549 0.241423
0.875351 0.241423
0.876152 0.241423
0.876954 0.242058
0.877756 0.242058
0.878557 0.242694
0.879359 0.243329
0.88016 0.243329
0.880962 0.243964
0.881764 0.243964
0.882565 0.243964
0.883367 0.245235
0.884168 0.24587
0.88497 0.247141
0.885772 0.247141
0.886573 0.247776
0.887375 0.247776
0.888176 0.249047
0.888978 0.249682
0.88978 0.249682
0.890581 0.250318
0.891383 0.251588
0.892184 0.252859
0.892986 0.253494
0.893788 0.254765
0.894589 0.254765
0.895391 0.254765
0.896192 0.256036
0.896994 0.259212
0.897796 0.259212
0.898597 0.259848
0.899399 0.261753
0.9002 0.261753
0.901002 0.261753
0.901804 0.262389
0.902605 0.263024
0.903407 0.268742
0.904208 0.271283
0.90501 0.271919
0.905812 0.272554
0.906613 0.272554
0.907415 0.273189
0.908216 0.27446
0.909018 0.275095
0.90982 0.277001
