time,C3-_L14_U0.08,C3+_L12_U0.08,C3+_L13_U0.08,C3+_L14_U0.08,C3-_L14_U0.32,C3+_L12_U0.32,C3+_L13_U0.32,C3+_L14_U0.32,C3-_L14_U1.28,C3+_L12_U1.28,C3+_L13_U1.28,C3+_L14_U1.28
2.700099999999999909e+03,-1.113808720849180002e-04,8.151139714561218552e-01,6.992442829823226624e-01,7.296066249416773841e-01,1.135962793853242031e-04,1.275638528462836874e-01,4.157878897173372668e-02,2.863717999191582597e-02,-9.639894163705989174e-05,2.573966509052796545e-02,8.984743150057743905e-03,3.395007625083260126e-03
2.800099999999999909e+03,-1.490998313315285498e-04,8.111938895135057948e-01,6.921330436060361135e-01,7.224494888660030201e-01,-4.330282720395538492e-05,1.262832998711456156e-01,4.100792800904160679e-02,2.719095038464637570e-02,-4.831992761333304547e-05,2.564255654497595710e-02,9.237678142237342599e-03,3.338185439818798159e-03
2.900099999999999909e+03,-1.365533461292160061e-04,8.071507736135173916e-01,6.851495837113396048e-01,7.153910988784230041e-01,-8.886954349052776181e-05,1.254452468710357260e-01,4.027806792118094475e-02,2.587017595598086264e-02,-1.574320325094145598e-04,2.597548584275416114e-02,9.107300653982221272e-03,3.404595478028348086e-03
3.000099999999999909e+03,-7.338536707977190974e-05,8.034747590334933021e-01,6.783148364343333236e-01,7.084745072831050150e-01,7.663614146446002205e-05,1.246271712964350242e-01,3.936939745707214444e-02,2.479961460665529305e-02,7.576145855612270166e-05,2.625221019449711438e-02,9.280701805198545568e-03,3.446535950322664448e-03
3.100099999999999909e+03,-4.951546433688781070e-05,8.000068018773182077e-01,6.716846643834304409e-01,7.016238906469152159e-01,1.794170605115381293e-04,1.239998801354469382e-01,3.874929322808682436e-02,2.380129414465275220e-02,9.440566899179730410e-05,2.610869756538575226e-02,9.392632006291106242e-03,3.433439572849709878e-03
3.200099999999999909e+03,-3.370509424122473138e-05,7.963327878494464995e-01,6.652482713065326347e-01,6.948625965875955268e-01,1.523165875373640806e-04,1.227363079719916428e-01,3.838543373975222134e-02,2.286984198673141372e-02,-3.673476048209335892e-05,2.619370504604405167e-02,8.988310321879900561e-03,3.602544433131361565e-03
3.300099999999999909e+03,-4.687496041742618972e-05,7.926867815517082416e-01,6.588577614311409425e-01,6.882305550474405731e-01,7.251697849497216314e-05,1.219272222388700783e-01,3.800897647823319597e-02,2.206843997037976832e-02,-2.049710308438490742e-05,2.623100832873292987e-02,8.604829786676780612e-03,3.452353363603976374e-03
3.400099999999999909e+03,-5.897633633901025121e-05,7.894378848562203510e-01,6.525715017883704228e-01,6.817224210863339628e-01,-7.059612165643018231e-05,1.214727358085363473e-01,3.780141021789335670e-02,2.148108669940211601e-02,9.775565672892861876e-05,2.681545976045891788e-02,8.965400699313131813e-03,3.320305024831339200e-03
3.500099999999999909e+03,1.141914103279254781e-04,7.859329174852259792e-01,6.462703945870234001e-01,6.752757536490868739e-01,-1.466294274532495355e-04,1.212529841279354204e-01,3.764569671606868284e-02,2.101558456096558683e-02,7.512748994145126112e-05,2.618450423637280061e-02,8.701551215528329636e-03,3.479719986737176383e-03
3.600099999999999909e+03,6.094890043136742060e-05,7.827480384586146256e-01,6.402349336901674848e-01,6.689021914696602344e-01,-4.896645871464193269e-05,1.205228092255750949e-01,3.734676644477652463e-02,2.046608618196375448e-02,-5.862349778455778641e-05,2.727980062245477511e-02,8.787452685775501773e-03,3.469873847287690584e-03
