time,alpha=0.0,alpha=0.5,alpha=1.0
9.109999999999999432e+01,7.708199999999999497e-01,8.322629999999999750e-01,8.190619999999999568e-01
9.209999999999999432e+01,7.696929999999999605e-01,8.310060000000000224e-01,8.178189999999999626e-01
9.309999999999999432e+01,7.685720000000000329e-01,8.297940000000000316e-01,8.165449999999999653e-01
9.409999999999999432e+01,7.674159999999999870e-01,8.286499999999999977e-01,8.151829999999999909e-01
9.509999999999999432e+01,7.663259999999999517e-01,8.274899999999999478e-01,8.138549999999999951e-01
9.609999999999999432e+01,7.652250000000000441e-01,8.262350000000000527e-01,8.126560000000000450e-01
9.709999999999999432e+01,7.640160000000000284e-01,8.249630000000000019e-01,8.114940000000000486e-01
9.809999999999999432e+01,7.627230000000000398e-01,8.237700000000000022e-01,8.103489999999999860e-01
9.909999999999999432e+01,7.615730000000000555e-01,8.226599999999999469e-01,8.091289999999999871e-01
1.000999999999999943e+02,7.606640000000000068e-01,8.214120000000000310e-01,8.078309999999999658e-01
1.100999999999999943e+02,7.493009999999999948e-01,8.095630000000000326e-01,7.955419999999999714e-01
1.200999999999999943e+02,7.391109999999999625e-01,7.980699999999999461e-01,7.838950000000000085e-01
1.300999999999999943e+02,7.286740000000000439e-01,7.869960000000000289e-01,7.724400000000000155e-01
1.400999999999999943e+02,7.187609999999999832e-01,7.761740000000000306e-01,7.615870000000000140e-01
1.500999999999999943e+02,7.095249999999999613e-01,7.656159999999999632e-01,7.505960000000000409e-01
1.600999999999999943e+02,6.998670000000000169e-01,7.551649999999999752e-01,7.399480000000000501e-01
1.700999999999999943e+02,6.903319999999999457e-01,7.448770000000000113e-01,7.298540000000000028e-01
1.800999999999999943e+02,6.811169999999999725e-01,7.349189999999999889e-01,7.199950000000000516e-01
1.900999999999999943e+02,6.723919999999999897e-01,7.250360000000000138e-01,7.101429999999999687e-01
2.000999999999999943e+02,6.638870000000000049e-01,7.155829999999999691e-01,7.005639999999999645e-01
2.100999999999999943e+02,6.548690000000000344e-01,7.061990000000000212e-01,6.912350000000000438e-01
2.200999999999999943e+02,6.462259999999999671e-01,6.971509999999999652e-01,6.821310000000000429e-01
2.300999999999999943e+02,6.379620000000000291e-01,6.882190000000000252e-01,6.732299999999999951e-01
2.400999999999999943e+02,6.294180000000000330e-01,6.795390000000000041e-01,6.643010000000000304e-01
2.500999999999999943e+02,6.220149999999999846e-01,6.707589999999999941e-01,6.555520000000000236e-01
2.601000000000000227e+02,6.142300000000000537e-01,6.623459999999999903e-01,6.474039999999999795e-01
2.701000000000000227e+02,6.064310000000000533e-01,6.539500000000000313e-01,6.394100000000000339e-01
2.801000000000000227e+02,5.987649999999999917e-01,6.458559999999999857e-01,6.314699999999999758e-01
2.901000000000000227e+02,5.921319999999999917e-01,6.379399999999999515e-01,6.234159999999999702e-01
3.001000000000000227e+02,5.847109999999999808e-01,6.302619999999999889e-01,6.156059999999999865e-01
3.101000000000000227e+02,5.778579999999999828e-01,6.222750000000000226e-01,6.077960000000000029e-01
3.201000000000000227e+02,5.703310000000000324e-01,6.150200000000000111e-01,6.008010000000000295e-01
3.301000000000000227e+02,5.637919999999999598e-01,6.075720000000000010e-01,5.930619999999999781e-01
3.401000000000000227e+02,5.573489999999999833e-01,6.001710000000000100e-01,5.858959999999999724e-01
3.501000000000000227e+02,5.502620000000000289e-01,5.930299999999999461e-01,5.787480000000000402e-01
3.601000000000000227e+02,5.443280000000000340e-01,5.859919999999999574e-01,5.719189999999999552e-01
3.701000000000000227e+02,5.374980000000000313e-01,5.792389999999999484e-01,5.651389999999999469e-01
3.801000000000000227e+02,5.316859999999999919e-01,5.724449999999999816e-01,5.583759999999999835e-01
3.901000000000000227e+02,5.255450000000000399e-01,5.657520000000000326e-01,5.519199999999999662e-01
4.001000000000000227e+02,5.191559999999999508e-01,5.592270000000000296e-01,5.454280000000000239e-01
4.101000000000000227e+02,5.134060000000000290e-01,5.528349999999999653e-01,5.392590000000000439e-01
4.201000000000000227e+02,5.076009999999999689e-01,5.467579999999999663e-01,5.330629999999999535e-01
4.301000000000000227e+02,5.017220000000000013e-01,5.405969999999999942e-01,5.272540000000000004e-01
4.401000000000000227e+02,4.960049999999999737e-01,5.342999999999999972e-01,5.211219999999999741e-01
4.501000000000000227e+02,4.908680000000000265e-01,5.283820000000000183e-01,5.154570000000000540e-01
4.601000000000000227e+02,4.850090000000000234e-01,5.224419999999999620e-01,5.095039999999999569e-01
4.701000000000000227e+02,4.797629999999999950e-01,5.166439999999999921e-01,5.037690000000000223e-01
4.801000000000000227e+02,4.747000000000000108e-01,5.108700000000000463e-01,4.980859999999999732e-01
4.901000000000000227e+02,4.696239999999999859e-01,5.052429999999999977e-01,4.925979999999999803e-01
5.001000000000000227e+02,4.641859999999999875e-01,4.998799999999999910e-01,4.873859999999999859e-01
5.101000000000000227e+02,4.593639999999999946e-01,4.946010000000000129e-01,4.818500000000000005e-01
5.201000000000000227e+02,4.548110000000000208e-01,4.892380000000000062e-01,4.770960000000000201e-01
5.301000000000000227e+02,4.496669999999999834e-01,4.839749999999999885e-01,4.719490000000000074e-01
5.401000000000000227e+02,4.449870000000000214e-01,4.788120000000000154e-01,4.667029999999999790e-01
5.501000000000000227e+02,4.405089999999999839e-01,4.738559999999999994e-01,4.619340000000000113e-01
5.601000000000000227e+02,4.357480000000000242e-01,4.689880000000000160e-01,4.570020000000000193e-01
5.701000000000000227e+02,4.311610000000000165e-01,4.640960000000000085e-01,4.522160000000000069e-01
5.801000000000000227e+02,4.268049999999999899e-01,4.591870000000000118e-01,4.475080000000000169e-01
5.901000000000000227e+02,4.224829999999999974e-01,4.543769999999999754e-01,4.429609999999999936e-01
6.001000000000000227e+02,4.178999999999999937e-01,4.498869999999999814e-01,4.385249999999999981e-01
6.101000000000000227e+02,4.138290000000000024e-01,4.455120000000000191e-01,4.340209999999999901e-01
6.201000000000000227e+02,4.096679999999999766e-01,4.409939999999999971e-01,4.297819999999999974e-01
6.301000000000000227e+02,4.059189999999999743e-01,4.365290000000000004e-01,4.252730000000000121e-01
6.401000000000000227e+02,4.019510000000000027e-01,4.320800000000000196e-01,4.210999999999999743e-01
6.501000000000000227e+02,3.979449999999999932e-01,4.278150000000000008e-01,4.169689999999999785e-01
6.601000000000000227e+02,3.938659999999999939e-01,4.238060000000000160e-01,4.128040000000000043e-01
6.701000000000000227e+02,3.900040000000000173e-01,4.195220000000000060e-01,4.086560000000000192e-01
6.801000000000000227e+02,3.864199999999999857e-01,4.153129999999999877e-01,4.047890000000000099e-01
6.901000000000000227e+02,3.826490000000000169e-01,4.115110000000000157e-01,4.010360000000000036e-01
7.001000000000000227e+02,3.791349999999999998e-01,4.073149999999999826e-01,3.970960000000000045e-01
7.101000000000000227e+02,3.757260000000000044e-01,4.034329999999999861e-01,3.933740000000000014e-01
7.201000000000000227e+02,3.721439999999999748e-01,3.994789999999999730e-01,3.897419999999999773e-01
7.301000000000000227e+02,3.681269999999999820e-01,3.956930000000000169e-01,3.858530000000000015e-01
7.401000000000000227e+02,3.648950000000000249e-01,3.920580000000000176e-01,3.822980000000000267e-01
7.501000000000000227e+02,3.612110000000000043e-01,3.883309999999999818e-01,3.786349999999999993e-01
7.601000000000000227e+02,3.579629999999999757e-01,3.847430000000000017e-01,3.751749999999999807e-01
7.701000000000000227e+02,3.549530000000000185e-01,3.811629999999999741e-01,3.719370000000000176e-01
7.801000000000000227e+02,3.516480000000000161e-01,3.777349999999999874e-01,3.685999999999999832e-01
7.901000000000000227e+02,3.484639999999999960e-01,3.744799999999999796e-01,3.652349999999999763e-01
8.001000000000000227e+02,3.453200000000000158e-01,3.707449999999999912e-01,3.620579999999999909e-01
8.101000000000000227e+02,3.422259999999999747e-01,3.678259999999999863e-01,3.587239999999999873e-01
8.201000000000000227e+02,3.390349999999999753e-01,3.645680000000000032e-01,3.554340000000000277e-01
8.301000000000000227e+02,3.366520000000000068e-01,3.611329999999999818e-01,3.523660000000000125e-01
8.401000000000000227e+02,3.333220000000000072e-01,3.578319999999999834e-01,3.494869999999999921e-01
8.501000000000000227e+02,3.302769999999999873e-01,3.547569999999999890e-01,3.463100000000000067e-01
8.601000000000000227e+02,3.274239999999999928e-01,3.515579999999999816e-01,3.435409999999999853e-01
8.701000000000000227e+02,3.247430000000000039e-01,3.484979999999999745e-01,3.405569999999999986e-01
8.801000000000000227e+02,3.219730000000000092e-01,3.456719999999999793e-01,3.376649999999999929e-01
