time,alpha=0.0,alpha=0.5,alpha=1.0
4.810000000000000142e+01,9.446219999999999617e-01,9.641049999999999898e-01,9.460619999999999585e-01
4.910000000000000142e+01,9.441730000000000400e-01,9.637470000000000203e-01,9.457349999999999923e-01
5.010000000000000142e+01,9.438419999999999588e-01,9.634489999999999998e-01,9.453799999999999981e-01
5.110000000000000142e+01,9.435499999999999998e-01,9.631640000000000201e-01,9.450619999999999576e-01
5.210000000000000142e+01,9.432019999999999849e-01,9.627879999999999772e-01,9.447269999999999834e-01
5.310000000000000142e+01,9.427799999999999514e-01,9.623990000000000045e-01,9.443589999999999485e-01
5.410000000000000142e+01,9.423810000000000242e-01,9.620300000000000518e-01,9.439600000000000213e-01
5.510000000000000142e+01,9.419910000000000228e-01,9.616160000000000263e-01,9.435489999999999711e-01
5.610000000000000142e+01,9.415229999999999988e-01,9.611640000000000184e-01,9.431950000000000056e-01
5.710000000000000142e+01,9.410530000000000284e-01,9.607040000000000024e-01,9.428950000000000387e-01
5.810000000000000142e+01,9.407250000000000334e-01,9.602969999999999562e-01,9.424989999999999757e-01
5.910000000000000142e+01,9.404719999999999747e-01,9.599370000000000402e-01,9.419950000000000268e-01
6.010000000000000142e+01,9.401610000000000245e-01,9.595740000000000380e-01,9.414569999999999883e-01
6.110000000000000142e+01,9.398729999999999585e-01,9.591990000000000238e-01,9.409650000000000514e-01
6.210000000000000142e+01,9.394970000000000265e-01,9.588410000000000544e-01,9.405529999999999724e-01
6.310000000000000142e+01,9.391080000000000538e-01,9.584139999999999882e-01,9.401469999999999549e-01
6.409999999999999432e+01,9.387199999999999989e-01,9.579739999999999922e-01,9.397440000000000238e-01
6.509999999999999432e+01,9.383890000000000287e-01,9.576289999999999525e-01,9.393350000000000311e-01
6.609999999999999432e+01,9.380410000000000137e-01,9.572749999999999870e-01,9.389150000000000551e-01
6.709999999999999432e+01,9.376719999999999500e-01,9.568950000000000511e-01,9.385029999999999761e-01
6.809999999999999432e+01,9.372920000000000140e-01,9.565989999999999771e-01,9.380899999999999794e-01
6.909999999999999432e+01,9.368830000000000213e-01,9.562669999999999781e-01,9.377159999999999940e-01
7.009999999999999432e+01,9.365599999999999481e-01,9.559149999999999592e-01,9.373209999999999598e-01
7.109999999999999432e+01,9.362270000000000314e-01,9.555949999999999722e-01,9.368459999999999566e-01
7.209999999999999432e+01,9.358859999999999957e-01,9.552399999999999780e-01,9.363860000000000516e-01
7.309999999999999432e+01,9.356179999999999497e-01,9.548630000000000173e-01,9.359950000000000214e-01
7.409999999999999432e+01,9.353470000000000395e-01,9.544589999999999463e-01,9.356259999999999577e-01
7.509999999999999432e+01,9.349260000000000348e-01,9.540429999999999744e-01,9.353089999999999460e-01
7.609999999999999432e+01,9.345200000000000173e-01,9.536510000000000264e-01,9.349690000000000500e-01
